date_akdt,high_temp_f,avg_temp_f,low_temp_f,high_dew_point_f,avg_dew_point_f,low_dew_point_f,high_humidity_pct,avg_humidity_pct,low_humidity_pct,high_sea_level_press_in,avg_sea_level_press_in,low_sea_level_press_in,high_visibility_mi,avg_visibility_mi,low_visibility_mi,high_wind_mph,avg_wind_mph,high_wind_mph,sum_precip_in,events
2016-01-01,41,30,19,23,18,14,86,68,25,30.36,30.23,30.12,4,3,1,9,3,-,0,
2016-01-02,46,34,21,25,21,18,93,72,25,30.17,30.12,30.06,3,2,0,7,3,-,0,Fog
2016-01-03,38,30,21,28,23,18,100,80,31,30.32,30.21,30.15,4,2,0,7,3,-,0,Fog
2016-01-04,35,28,21,24,7,-3,97,42,10,30.48,30.42,30.3,17,8,0,16,7,27,0,Fog
2016-01-05,35,25,12,7,-1,-8,67,33,9,30.48,30.44,30.33,19,10,2,18,11,25,0,
2016-01-06,39,26,12,10,2,-3,73,38,8,30.57,30.45,30.39,15,10,1,20,9,29,0,
2016-01-07,34,24,14,3,1,-3,53,33,10,30.6,30.47,30.36,19,16,10,20,12,31,0,
2016-01-08,35,24,14,7,2,-2,63,37,9,30.42,30.35,30.3,19,8,1,13,8,-,0,
2016-01-09,41,26,12,11,6,2,73,46,10,30.32,30.27,30.21,9,3,1,9,4,-,0,
2016-01-10,35,24,14,11,4,-6,68,40,11,30.6,30.44,30.3,12,5,1,11,4,-,0,
2016-01-11,30,21,12,0,-3,-10,57,33,7,30.69,30.61,30.54,19,17,14,16,9,25,0,
2016-01-12,31,18,5,-2,-6,-12,61,32,6,30.63,30.49,30.36,19,14,6,22,11,31,0,
2016-01-13,37,26,15,1,-7,-13,49,24,8,30.36,30.25,30.18,15,7,1,20,11,29,0,
2016-01-14,41,26,12,9,1,-7,73,36,5,30.21,30.14,30.06,5,3,1,20,4,29,0,
2016-01-15,41,28,14,25,7,0,86,45,9,30.14,30.07,30.01,5,4,1,9,3,-,0,
2016-01-16,30,27,24,23,16,8,80,60,30,30.27,30.2,30.12,5,4,1,9,5,-,0,Snow
2016-01-17,25,16,8,21,5,-9,93,52,10,30.42,30.32,30.27,18,7,2,20,8,-,0,Snow
2016-01-18,23,16,10,0,-10,-18,49,30,7,30.43,30.35,30.27,19,14,7,25,13,38,0,
2016-01-19,30,16,3,1,-5,-11,67,40,9,30.57,30.46,30.39,7,4,2,9,4,-,0,
2016-01-20,26,18,10,14,6,-2,80,56,25,30.63,30.56,30.51,5,4,1,7,3,-,0,
2016-01-21,26,20,15,21,17,12,93,81,52,30.66,30.54,30.48,4,3,1,7,4,-,0,Snow
2016-01-22,22,14,6,16,-13,-25,93,29,5,30.91,30.8,30.66,19,10,4,22,13,29,0,
2016-01-23,8,4,1,-17,-24,-29,39,23,6,30.89,30.84,30.8,16,11,6,31,16,45,0,
2016-01-24,25,15,5,-4,-13,-22,34,26,6,30.83,30.7,30.57,19,13,3,29,20,40,0,
2016-01-25,35,22,10,-2,-7,-11,45,24,5,30.57,30.43,30.33,18,7,2,22,11,34,0,
2016-01-26,35,28,21,1,-4,-10,36,22,6,30.42,30.36,30.33,17,11,2,16,11,27,0,
2016-01-27,37,22,8,7,2,-3,73,40,8,30.41,30.35,30.3,6,3,1,7,3,-,0,
2016-01-28,41,28,14,11,4,0,62,39,9,30.52,30.41,30.36,5,4,1,9,4,-,0,
2016-01-29,28,22,15,9,5,-3,73,46,14,30.66,30.58,30.51,9,6,5,9,4,-,0,
2016-01-30,26,19,12,9,-2,-10,73,40,9,30.66,30.59,30.54,16,6,2,13,5,16,0,
2016-01-31,34,20,5,3,-6,-11,52,29,6,30.69,30.64,30.57,19,13,2,18,8,29,0,
2016-02-01,39,24,8,3,0,-5,62,32,7,30.66,30.59,30.51,19,16,5,20,8,31,0,
2016-02-02,42,28,15,3,0,-6,49,29,7,30.57,30.44,30.33,14,9,2,11,7,20,0,
2016-02-03,46,30,14,5,1,-4,57,31,6,30.45,30.36,30.27,12,6,2,13,6,-,0,
2016-02-04,41,32,23,3,0,-6,39,25,5,30.51,30.44,30.36,19,18,10,13,8,-,0,
2016-02-05,39,32,26,5,1,-5,40,25,7,30.49,30.44,30.39,19,18,12,25,15,36,0,
2016-02-06,44,30,15,9,2,-2,62,32,7,30.48,30.39,30.27,18,9,3,18,7,25,0,
2016-02-07,46,32,17,10,4,-1,68,33,6,30.27,30.12,30.01,15,7,2,22,6,34,0,
2016-02-08,53,35,17,12,7,2,63,31,5,30.12,29.98,29.89,19,6,1,27,7,-,0,
2016-02-09,51,36,21,16,10,7,63,35,7,30.25,30.16,30.09,13,7,2,9,4,-,0,
2016-02-10,48,34,21,21,13,9,68,43,13,30.15,30.07,30.01,5,4,2,7,3,-,0,
2016-02-11,44,37,30,37,27,18,85,63,42,30.06,30.03,29.98,4,2,1,7,3,-,0,Rain
2016-02-12,50,38,26,42,32,23,100,76,38,30.09,30.01,29.95,4,2,0,16,4,-,0.24,Rain
2016-02-13,39,31,23,37,14,-7,93,50,10,30.48,30.29,30.12,19,10,4,29,19,40,0.03,"Rain , Snow"
2016-02-14,32,26,19,3,-3,-10,36,29,9,30.54,30.47,30.42,19,19,19,27,20,36,0,
2016-02-15,39,28,17,5,2,-3,53,30,8,30.48,30.3,30.21,19,17,12,25,12,34,0,
2016-02-16,48,37,26,12,8,2,38,27,9,30.31,30.2,30.15,19,17,11,22,12,34,0,
2016-02-17,50,36,21,19,14,5,80,41,10,30.3,30.18,30.04,15,8,4,13,5,-,0,
2016-02-18,48,40,32,14,5,-2,48,21,5,30.27,30.14,30.04,19,15,7,20,13,31,0,
2016-02-19,44,36,26,16,5,-8,55,28,5,30.54,30.38,30.24,19,14,7,22,8,29,0,
